master_id,original_id,problem_name,category,stakeholders,root_cause,severity,frequency,impact,innovation_opportunity,one_line_solution,existing_solutions,existing_gaps,technology_tags,undp_alignment,bangladesh_relevance,source_agents,consensus_count
MPRB-0011,PRB-B-005,"Inability to Secure Secure, Confidential Virtual Client Consultation in Sensitive Cases",B. Lawyer Problems,Pro-Bono Advocates; Domestic Violence Victims; Under-Trial Clients,"Lack of secure communications infrastructure; reliance on unencrypted consumer apps (IMO, WhatsApp) vulnerable to family snooping or phone confiscation.",8,7,8,8,Zero-knowledge ephemeral WebRTC legal consultation portal with browser-only biometric burn-after-reading evidence locker.,Physical chamber visits; ordinary cellular calls; standard WhatsApp chats.,No ephemeral zero-trace consultation room; no secure client vault for sensitive medical or domestic abuse evidence.,WebRTC; End-to-End Encryption; Ephemeral Data Architecture; Browser Biometrics,10,8,Antigravity,1
MPRB-0012,PRB-B-006,Overwhelming Pro-Bono Caseload Tracking Without Basic Case Management Software,B. Lawyer Problems,Legal Aid Panel Lawyers; Solo Legal Practitioners; Bar Associations,Legal aid lawyers juggle 50-100 state-assigned cases on manual paper diaries without paralegal administrative support.,7,9,8,8,"Lightweight, offline-first mobile Practice Management System tailored for legal aid panel advocates with automated cause list sync.",Paper desk diaries ('Diary of Hearings'); wall calendars; informal WhatsApp groups.,Missed limitation deadlines; lost client contact numbers; failure to appear resulting in ex-parte orders.,Offline-First PWA; SQLite/IndexedDB; SMS Webhooks; Calendar Synchronization,3,9,Antigravity,1
MPRB-0013,PRB-C-001,Exhausting Pre-Litigation Mediation Workload on a Single Judicial Officer,C. Legal Aid Officer Problems,District Legal Aid Officers (DLAOs); Assistant Judges; Disputants,"Section 21A of Legal Aid Services Act 2000 mandates DLAO to conduct alternative dispute resolution (ADR), conducting 20-30 mediations daily alongside administration.",9,10,9,9,AI Pre-Mediation Intake & Diagnostic Copilot that drafts comparative settlement matrices and schedules phased ADR sessions.,Manual hearing notices; informal shuttle diplomacy; back-to-back physical sessions in small chambers.,No AI-assisted mediation scheduling; no automated issue-framing or dispute diagnostic tools; no digital settlement drafting.,NLP Dispute Diagnostic; ADR Workflow Engine; Automated Scheduling; Decision Trees,3,10,Antigravity,1
MPRB-0014,PRB-C-002,Manual Registry Book Tracking Leading to Untraceable Legal Aid Application Files,C. Legal Aid Officer Problems,DLAO Office Staff; Applicants; Bench Clerks,"Legal aid applications, intake forms, committee decisions, and panel lawyer assignments are recorded in massive hand-written paper khata registers.",8,9,8,8,QR-code-driven digital docket lifecycle tracking system for all legal aid files with automated OCR file ingestion.,Physical index numbers; alphabetical ledger registers; physical file cabinets.,Physical loss or termite destruction of files; search time of 30-45 minutes per inquiry; inability to generate real-time district performance metrics.,QR Tracking; OCR; Digital Register; Workflow Automation,6,10,Antigravity,1
MPRB-0015,PRB-C-003,Lack of Objective Quality-of-Representation Monitoring for Assigned Panel Advocates,C. Legal Aid Officer Problems,DLAOs; Legal Aid Clients; Panel Lawyers,"DLAO has no operational visibility into whether assigned panel lawyers actually attend hearings, present robust arguments, or file timely bail bonds.",8,8,9,9,Automated panel advocate court attendance validation engine cross-referencing daily judicial order sheets with SMS client feedback loops.,Sporadic client complaints; periodic informal check-ins with bench clerks.,No client feedback mechanism; no automated court attendance verification; no outcome-based performance scoring.,Automated Order Sheet Scraping; IVR/SMS Citizen Feedback; Advocate Performance Analytics,3,9,Antigravity,1
MPRB-0016,PRB-C-004,Absence of Integration Between DLAO Office and Local Jail Under-Trial Inmate Rosters,C. Legal Aid Officer Problems,DLAOs; Jail Superintendents; Prison Welfare Officers; UTPs,DLAOs rely on monthly physical paper letters from jail authorities to identify indigent prisoners languishing without legal representation.,9,8,10,9,Real-time Jail-to-DLAO automated telemetry bridge triggering instant legal aid assignment upon 48-hour unrepresented detention.,Quarterly physical prison visits by DLAO; manual prison legal aid clinics.,Prisoners without family or money remain undiscovered for years; no live API linking prison admissions to legal aid eligibility screening.,Inter-Agency API; Automated Case Trigger; Prisons Database Sync; Notification Engine,3,10,Antigravity,1
MPRB-0017,PRB-C-005,Manual Drafting and Execution of Legally Binding ADR Settlement Deeds (Solénama),C. Legal Aid Officer Problems,DLAOs; Mediating Parties; Family Court Judges,"Settlement agreements (Solenama/Rojinama) are hand-drafted on non-judicial stamp papers, leading to ambiguous terms, unenforceability, and repeat litigation.",7,9,8,8,"Smart Legal Settlement Builder with clause-library verification, biometrically validated e-signatures, and instant court decree e-filing.",Generic Word document templates; handwritten agreements on cartridge paper.,Ambiguous clause structures; no standardized digital execution; lack of instant digital transmittal to Family/Civil Courts for decree sealing.,Document Assembly; Digital Signature; Standardized Clause Engine; Court Interoperability,3,9,Antigravity,1
MPRB-0018,PRB-C-006,Inability to Provide Emergency Virtual Injunction Assistance for Destitute Domestic Violence Victims,C. Legal Aid Officer Problems,DLAOs; Battered Women; One-Stop Crisis Centers (OCC); Police,Victim must physically travel to district town court compound during daytime hours to file for protection or maintenance orders.,10,7,10,9,24/7 Rapid Emergency Legal Protection e-Docket allowing DLAOs and Magistrates to issue verified emergency interim protection orders digitally.,OCC hospital referrals; emergency 109 / 999 hotlines; NGO shelter interventions.,Hotlines provide counseling/police dispatch but cannot issue or expedite digital judicial protection orders or emergency maintenance filings.,Emergency e-Docket; Digital Judicial Signing; Multi-Agency Alert Gateway; Encrypted Form,5,10,Antigravity,1
MPRB-0019,PRB-D-001,Crippling Subordinate Court Daily Cause Lists (100-150 Cases Listed Daily per Bench),D. Judge Problems,District Judges; Chief Judicial Magistrates; Court Clerks; Litigants,Lack of differentiated case management (DCM) systems; automatic adjournment policies; absence of pre-trial triage mechanisms.,10,10,10,9,"AI Differentiated Case Management (DCM) Scheduler that triages daily dockets by case complexity, party readiness, and procedural stage.",Manual cause list printing on court notice boards; judicial triage by call-out; bulk adjournments.,No algorithmic workload balancing; substantive trials mixed randomly with 2-minute procedural dates; extreme judicial fatigue.,Machine Learning Scheduling; Differentiated Case Flow; Predictive Hearing Duration; Analytics Dashboard,3,10,Antigravity,1
MPRB-0020,PRB-D-002,Handwritten Deposition Recording Under High Ambient Noise (CrPC 356 / CPC Order XVIII),D. Judge Problems,Trial Judges; Witnesses; Trial Lawyers; Appellate Benches,Statutory requirement for judges to manually write down witness depositions by hand in Bangla throughout day-long cross-examinations.,9,10,9,9,Noise-robust domain-fine-tuned courtroom Bangla Speech-to-Text deposition assistant with live judicial screen edit and verification.,Judges writing in fountain pen in ledger registers; occasional court stenographer dictation.,Severe physical judge burnout; illegible handwritten deposition sheets that paralyze High Court appeals; slow court recording speed (15 wpm).,Bangla ASR (Speech Recognition); Acoustic Noise Suppression; Real-Time Judicial UI; Secure Audit Trail,3,10,Antigravity,1
MPRB-0021,PRB-D-003,Unavailability of Real-Time Criminal History and Prior Conviction Records During Bail Hearings,D. Judge Problems,Magistrates; Public Prosecutors; Police Investigation Officers; Defense Counsel,Police crime records (CIRS) and court disposition databases are disconnected; no centralized national criminal history repository accessible to judges.,9,9,10,8,Real-time biometric NID-linked judicial criminal record query portal for instant bail assessment (CrimCheck-BD).,Manual police forwarding reports (Chalan/Seizure lists); verbal claims by Investigating Officers.,Repeat offenders obtain bail by concealing prior charges in other districts; habitual offenders exploit jurisdictional data silos.,Biometric Query API; Inter-Departmental Database Bus; Role-Based Access Control; Data Privacy Shield,3,9,Antigravity,1
MPRB-0022,PRB-D-004,"Frequent Failure of Witness Appearance (Medical Officers, Investigating Officers, Seizure Witnesses)",D. Judge Problems,Judges; Government Medical Doctors (Civil Surgeons); Police IOs; Victims,Doctors and police officers are frequently transferred across districts without court notification; summons sent via physical police couriers get lost.,9,9,9,8,Inter-ministerial e-Summons and Virtual Expert Witness Testimony network linking district courts with DGHS and Bangladesh Police HR.,Physical court process servers; warrants of witness arrest; formal letters to DG Health / Police HQ.,Years of delay waiting for doctor testimony on post-mortem or injury certificates; no digital witness summons dispatch and tracking.,e-Summons Gateway; Government HRMS API; WebRTC Tele-Testimony; Digital Process Service Tracking,3,10,Antigravity,1
MPRB-0023,PRB-D-005,Discrepant and Unverified Land Cadastral Survey Records in Civil Title Suits,D. Judge Problems,Civil Judges; Land Litigants; Kanungos; Survey Commissioners,"Civil property suits rely on conflicting historical maps and parchas (CS, SA, RS, BS/City Survey) that are easily forged or manually manipulated.",9,10,10,9,Geo-Spatial Cadastral Overlay Engine (Bhoo-Chitra) allowing judges to visually compare CS/SA/RS/BS boundaries with satellite drone verification.,Appointment of local advocate survey commissioner; physical inspection of century-old mouza maps; manual DLRS record verification.,Survey commissioner reports take 1-3 years and are subject to bias; no digital overlay of historical GIS surveys on active disputed plots.,GIS Mapping; Georeferenced Cadastral Engine; Drone Photogrammetry; e-Khatian API,3,10,Antigravity,1
MPRB-0024,PRB-D-006,Cognitive Overload and Time Scarcity for Thorough Legal Ratio Research,D. Judge Problems,Judges; Judicial Research Officers; Litigants,Judges preside over 6 hours of court hearings daily and must write 10-20 complex judgments/orders per week without judicial research clerks.,8,8,8,9,Judicial Ratio-Decidendi AI Copilot that cross-examines case citations in legal briefs and highlights overruled or conflicting precedents.,Personal library books; arguments presented in advocate written briefs; manual reading of DLR indices.,Risk of conflicting precedents between benches; no automated ratio extraction; inability to rapidly check if a cited judgment has been overruled.,Legal Citation Graph; Precedent Overrule Detector; RAG Engine; Bangla-English Legal LLM,3,9,Antigravity,1
MPRB-0025,PRB-E-001,Catastrophic Physical Record Room Congestion and Paper File Decay (Nothikhana),E. Court Administration Problems,District Record Room Keepers (Mohafiz); Bench Clerks (Peshkar); Litigants,"Millions of historical and pending case bundles tied in red cloth (Laal Shalu) stored in damp, unindexed, non-climate-controlled record rooms.",9,10,9,8,High-throughput edge-digitization workflow with intelligent barcode indexing and cloud-backed long-term digital archiving.,Periodic manual dusting; physical weeding out of obsolete files under Court Record Destruction Rules; physical pest spraying.,"Files lost to moisture, termites, and fires; retrieval of an old record takes 3 weeks to 6 months; vulnerability to deliberate document theft.",High-Speed Document Capture; Barcoding/RFID; Lossless Archival Compression; Digital Asset Management,6,10,Antigravity,1
MPRB-0026,PRB-E-002,Fraudulent or False Process Serving (Summons Non-Service / 'Jari Na Howa'),E. Court Administration Problems,Court Process Servers (Jarikaarak); Defendants; Civil Court Nazir,"Process servers submit fraudulent affidavits claiming the defendant could not be found or pasted notice on a tree, enabling ex-parte decrees.",9,9,10,9,"GPS-tagged, tamper-evident Mobile Process Server App requiring geo-located photos, recipient digital signature/fingerprint, or OTP verification.",Registered postal mail summons; newspaper public notices; registered process peon logs.,No verification of whether process server actually visited the defendant's residence; rampant collusion with unscrupulous plaintiffs.,Geo-Fencing; Tamper-Proof Mobile App; Biometric/OTP Verification; Blockchain Audit Trail,3,10,Antigravity,1
MPRB-0027,PRB-E-003,Opacity and Manual Cash Handling in Court Fee Stamps and Fines Collection,E. Court Administration Problems,Court Nazir; Treasury Officers; Litigants; Lawyer Clerks,Mandatory reliance on physical judicial and non-judicial adhesive court fee stamps bought from licensed vendors who artificially inflate prices.,8,9,8,8,National e-Court Fee Payment Gateway (e-Challan / e-Stamp) integrated with bKash/Nagad/Rocket and instant verification API.,Physical treasury challan; licensed stamp vendors outside court buildings; manual cash receipt registers.,Circulation of counterfeit court stamps; government revenue leakage; arbitrary extortion of stamp commission from poor litigants.,Digital Payment Integration; e-Challan API; Cryptographic Stamp Token; Anti-Counterfeit QR,5,10,Antigravity,1
MPRB-0028,PRB-E-004,Peshkar (Bench Clerk) Gatekeeping and Unofficial Bribes for Basic File Movement,E. Court Administration Problems,Bench Clerks; Junior Lawyers; Litigants; Administrative Judges,Clerks hold absolute physical custody over the daily case file (Nothi); putting a case on the active list or getting an order signed requires 'speed money'.,9,10,9,8,Automated e-Docket custody tracking system that logs every file status change digitally and displays queue positions publicly.,Surprise inspections by District Judge; administrative transfer of clerks every 3 years; complaint boxes.,Physical custody creates systemic choke points; litigants have no independent way to verify if their file was placed before the judge.,Public Queue Dashboard; Audit Logging; Role-Based Case Pipeline; Zero-Touch File Routing,5,10,Antigravity,1
MPRB-0029,PRB-E-005,"Slow, Manual Certified Copy Issuance (Nokol Khana Delays of Months)",E. Court Administration Problems,Litigants; Appellate Lawyers; Copying Section Staff (Nakalgor),"Certified copies of judgments, orders, and depositions must be hand-transcribed or manually photocopied and stamped with multi-tier signatures.",8,10,9,9,"Self-service e-Certified Copy portal generating digitally signed, watermarked, cryptographically verifiable PDF judgments on demand.",Urgent copying fee slips (Foulscap paper submissions); manual photocopying machines in bar libraries.,"Delays of 2 to 6 months to receive certified copies; statutory appeal periods expire while waiting for copies, necessitating Section 5 Limitation petitions.",Digital Signatures (PKI); Automated PDF Watermarking; Self-Service Citizen Portal; Payment Integration; Self-Service PDF Generation; Digital Signature Watermarking; Direct Payment Integration; Clerk-Bypass Architecture,3,10,Antigravity,1
MPRB-0030,PRB-E-006,Lack of Standardized Unique Case Identifiers (CNR) Across Criminal Justice Agencies,E. Court Administration Problems,Court Registrars; Police HQ; Prisons Directorate; Prosecution Service,Police use Thana Case No / GR No; Magistrates use CR/GR Case No; Sessions Courts use Sessions Case No; High Court uses Criminal Misc / Appeal No.,9,10,9,9,Universal Case Numbering Engine (BD-CNR) issuing a permanent cryptographic tracking hash linked from initial FIR to Supreme Court verdict.,Manual cross-referencing on order sheets; manual verification by IO in court registers.,"A single criminal transaction gets 4-6 different disconnected case numbers across its lifecycle, making unified tracking impossible.",Universal Case Identity; Cross-Agency Data Federation; RESTful Data Bus; Event-Driven Architecture,6,10,Antigravity,1
MPRB-0031,PRB-F-001,Massive Fiscal Drain from Defending Needless or Frivolous Government Civil Suits,F. Government Problems,Government Pleaders (GP); District Administration (Deputy Commissioners); Finance Division,Government departments reflexively contest all property and service disputes through multi-tier appeals without early legal risk assessments.,8,9,8,8,Predictive State Litigation Analytics platform that evaluates winning probability and recommends settlement before costly appeals.,Vetting by Ministry of Law; DC office revenue meetings; government pleader opinions.,No predictive litigation risk assessment tools; bureaucratic inertia leads to automatic appeals even in settled legal principles.,Litigation Risk Scoring; Machine Learning Analytics; Public Expenditure Optimization; Civil Suit Classifier,6,9,Antigravity,1
MPRB-0032,PRB-F-002,Extreme Jail Overcrowding Due to High Proportions of Under-Trial Prisoners (70%+ UTPs),F. Government Problems,Ministry of Home Affairs; Prisons Directorate; Under-Trial Prisoners; Judiciary,"Slow trial disposal, stringent statutory bail restrictions (e.g. Narcotics Control Act, Special Powers Act), and unaffordable bail bonds.",10,10,10,9,Algorithmic Under-Trial Detention Auditor (JailAudit-BD) flagging prisoners detained beyond statutory maximums under CrPC Section 339C.,Occasional presidential clemency; prison legal aid days; physical review meetings by District Jail Oversight Committees.,"Prison capacity designed for 42,000 houses over 85,000 inmates; lack of algorithmic identification of inmates eligible for personal recognizance bail.",Automated Compliance Monitoring; Prison Database Analytics; Statutory Rule Engine; Alert Engine,3,10,Antigravity,1
MPRB-0033,PRB-F-003,Disconnection Between E-Government Citizen Portals and Formal Dispute Mechanisms,F. Government Problems,Aspire to Innovate (a2i); ICT Division; Cabinet Division; Law Ministry,"Platforms like Citizen Charter, 333 helpline, and MyGov portal handle service requests but have no legal escalation pathway to legal aid or courts.",7,9,8,9,Interoperable Civic-to-Justice Routing Switch connecting GRS/333 citizen grievances directly into the NLASO digital intake pipeline.,Grievance Redress System (GRS); 333 citizen helpline; Upazila Nirbahi Officer (UNO) public hearings.,GRS complaints with civil/criminal legal merit get rejected as 'outside scope' without warm handoff to NLASO or Village Courts.,API Middleware; Civic-Tech Integration; Automated Triage; Citizen Escalation Protocol,6,9,Antigravity,1
MPRB-0034,PRB-F-004,Inadequate Public Defense Funding in National Budgetary Allocations (<0.5% of Budget),F. Government Problems,Finance Ministry; Planning Commission; NLASO; Civil Society,"Justice sector and legal aid are viewed as non-productive social expenditures compared to physical infrastructure (roads, bridges, energy).",9,10,9,7,"Macro-Justice Econometric Impact Modeler demonstrating GDP returns, poverty alleviation, and prison cost-savings of legal aid spending.","Annual ADP allocations; foreign donor project funding (UNDP, World Bank, GIZ).",Donor dependency; lack of econometric Return-On-Investment (ROI) data demonstrating that legal aid prevents social unrest and unlocks land capital.,Econometric Modeling; Public Finance Analytics; Data Visualization; Budgetary Impact Simulation,3,8,Antigravity,1
MPRB-0035,PRB-F-005,Absence of Open Judicial Data for Evidence-Based Justice Sector Policy Formulation,F. Government Problems,Cabinet Division; BBS (Bangladesh Bureau of Statistics); Policy Think Tanks; Law Commission,"Judicial statistics are collected manually on quarterly paper registers, treated as confidential administrative records rather than open public data.",8,9,8,9,"National Open Justice Data Clearinghouse (JusticeData.gov.bd) providing anonymized, machine-readable court performance datasets.",Supreme Court Annual Report; Law Commission working papers; sporadic research studies.,No open data portal; no anonymized case datasets for academic research; policy interventions are formulated on anecdotal intuition.,Open Data Platform; Automated PII Anonymization; Statistical API; Interactive Dashboards,10,9,Antigravity,1
MPRB-0036,PRB-F-006,Incoherent Inter-Ministerial Coordination During Legislative Drafting Leading to Ambiguities,F. Government Problems,Legislative and Parliamentary Affairs Division; Line Ministries; Law Commission,"Bills drafted in silos without computational analysis of statutory cross-references, conflicting jurisdictional definitions, or enforcement burdens.",8,7,8,8,"Statutory Corpus Consistency Engine that analyzes draft legislative bills for clause conflicts, definitions, and jurisdictional overlaps.",Inter-ministerial vetting meetings; public comments on draft bills; gazette notifications.,"New laws frequently contain conflicting clauses with existing codes (e.g. Cyber Security Act vs Evidence Act vs CrPC), overloading courts.",Knowledge Graph; Statutory Cross-Reference Parsing; LLM Consistency Checker; Legislative Tech,3,9,Antigravity,1
MPRB-0037,PRB-G-001,Dual Control Over Subordinate Courts Under Article 116 of the Constitution,G. Ministry Problems,"Ministry of Law, Justice & Parliamentary Affairs; Supreme Court Registry; Subordinate Judges","Constitutional dualism where postings, promotions, and leaves of lower court judges require concurrent approval from Executive and Judiciary.",9,9,9,7,Unified Judicial Human Capital Management (JHCM) workflow portal with synchronized dual-approval cryptographic checkpoints.,Physical file movement between Supreme Court Registrar General and Law Ministry Secretary; formal notifications.,Vacancies take months to fill; administrative friction delays judicial deployment; lacks a transparent digital human resources workflow.,Secure Multi-Party Workflow; Dual-Key Approval; HRMS Integration; Audit Trail,6,9,Antigravity,1
MPRB-0038,PRB-G-002,Manual and Paper-Bound Prosecution Department (PP / APP) Case Assignment and Monitoring,G. Ministry Problems,Ministry of Law (Solicitor Wing); District Public Prosecutors (PP); Assistant Public Prosecutors (APP),"Public prosecutors are political appointees operating without digital case logs, performance metrics, or formal handovers during government transitions.",9,10,9,8,Prosecutorial Case Management and Performance Monitoring System (ProsecuteBD) with automated charge-sheet readiness audits.,Physical case diaries; quarterly handwritten disposal reports sent to Solicitor Wing.,PPs arrive unprepared; evidence not scrutinized before trial; no tracking of acquittal rates or reasons for prosecution failures.,Case Management System; Prosecution Workflow; Performance Analytics; Evidence Audit Checklist,3,10,Antigravity,1
MPRB-0039,PRB-G-003,"Severe Delays in Notifying Subordinate Legislation, Gazettes, and Statutory Rules (SROs)",G. Ministry Problems,BG Press; Ministry of Law; Practicing Lawyers; Judges,Physical printing and manual distribution bottleneck of the Bangladesh Extraordinary Gazette; online gazette portal often lags weeks behind.,7,8,7,8,Real-Time Digital Gazette Feed & SRO API with automated statutory consolidation and subscriber webhook alerts.,BG Press physical subscription; bgpress.gov.bd PDF uploads.,Courts and citizens unaware of newly gazetted rules or legal aid fee amendments for weeks; no structured notification webhooks for legal portals.,Automated Gazette Parsing; Webhook Engine; Version-Controlled Statute Database; API Gateway,10,9,Antigravity,1
MPRB-0040,PRB-G-004,Inadequate Digitization of Marriage and Divorce Registrations (Qazi Records),G. Ministry Problems,Muslim Marriage Registrars (Qazis); Women,Nikahnama records remain hand-written in physical bound volumes (Balam Boi) kept in private Qazi offices vulnerable to backdated alterations.,9,9,10,9,Centralized Biometric e-Nikah Registry linking NID age-verification with QR-stamped digital marriage certificates.,Physical nikahnama copies; sub-registry inspections; pilot digital qazi software in select upazilas.,Forged marriage ages to bypass Child Marriage Restraint Act; fabricated divorces to deny dower (denmohor) and maintenance; lost balam books.,Biometric NID Verification; Centralized e-Registry; Tamper-Proof QR Code; SMS Confirmation to Bride,5,10,Antigravity,1
MPRB-0041,PRB-G-005,Disjointed Training Pipelines at Judicial Administration Training Institute (JATI),G. Ministry Problems,JATI Administration; Newly Recruited Assistant Judges; Judicial Magistrates,"Training curricula emphasize rote memorization of old codes with minimal hands-on instruction in digital forensics, cyber evidence, and ADR.",7,7,8,8,Interactive Judicial Simulation and Digital Evidence Sandbox for JATI with virtual trial scenarios and algorithmic assessment.,Classroom lectures; mock trials; printed training manuals.,Judges enter courtrooms unprepared for digital evidence under the amended Evidence Act 2022; no simulated digital courtroom environments.,Simulated Moot Court; Digital Evidence Sandbox; LMS Platform; Interactive Case Scenarios,6,8,Antigravity,1
